Time,PosCart,VelCart,AccCart,PosPend,VelPend,CtrlVec
317.656,0.011,-0.033,-1.14,3.144,0.017,-6.038
317.707,0.011,-0.003,0.261,3.147,0.132,-35.341
317.757,0.009,0.001,4.657,3.141,-0.045,12.835
317.807,0.007,-0.045,4.962,3.141,-0.1,7.669
317.858,0.007,-0.026,2.88,3.147,0.01,-59.921
317.908,0.004,-0.075,-1.301,3.141,-0.194,-22.962
317.958,0.003,-0.031,-1.363,3.144,0.057,-49.87
318.009,0.001,0.032,1.153,3.144,0.354,-50.049
318.059,-0.001,-0.065,-2.349,3.144,0.002,-65.22
318.11,-0.003,0.011,-6.003,3.141,0.174,-31.794
318.16,-0.006,-0.084,9.274,3.136,-0.257,18.733
318.21,-0.006,-0.033,3.65,3.141,0.014,-34.979
318.261,-0.009,0.005,4.254,3.139,0.183,-8.301
318.311,-0.011,-0.066,-2.248,3.141,0.003,-46.5
318.361,-0.012,0.004,-0.485,3.141,0.118,-47.579
318.411,-0.014,-0.058,6.375,3.144,0.002,-100.287
318.461,-0.019,-0.095,5.793,3.133,-0.193,-0.7
318.512,-0.019,-0.029,-1.608,3.141,0.077,-77.902
318.562,-0.023,-0.095,5.7,3.133,-0.198,-6.35
318.612,-0.023,-0.026,2.857,3.141,0.145,-82.71
